TileIndex,Red,Green,Blue
398,132,123,117
399,113,142,187
400,42,85,109
401,178,185,158
402,71,108,145
403,100,97,101
404,134,103,78
405,162,186,201
406,96,77,75
407,121,124,125
408,193,197,203
409,174,165,149
410,218,208,200
411,107,104,88
412,193,197,203
413,163,155,143
414,173,179,186
415,106,108,93
416,105,120,128
417,216,222,224
418,166,172,159
419,50,33,22
420,192,147,104
421,164,147,126
422,129,107,95
423,195,198,199
424,112,112,112
425,157,171,174
426,120,125,119
427,131,131,131
428,137,142,137
429,117,99,87
430,186,179,182
431,127,135,135
432,147,126,112
433,181,81,76
434,73,98,138
435,180,147,92
436,162,155,147
437,157,148,140
438,161,157,144
439,19,78,138
440,129,113,101
441,108,112,123
442,115,103,84
443,132,110,80
444,197,197,197
445,128,128,121
446,63,67,61
447,75,86,124
448,152,152,162
449,96,86,88
450,121,115,103
451,32,50,68
452,104,89,67
453,148,143,106
454,113,157,178
455,121,117,107
456,159,134,109
457,180,181,176
458,164,114,115
459,107,136,129
460,96,77,75
461,166,156,150
462,175,125,102
463,91,92,105
464,46,64,47
465,74,47,55
466,129,130,124
467,58,67,74
468,28,39,53
469,101,103,101
470,134,115,73
471,165,151,127
472,173,174,178
473,151,151,151
474,93,88,76
475,147,122,106
476,74,111,132
477,132,133,72
478,8,76,31
479,89,77,68
480,122,113,99
481,125,99,83
482,110,110,110
483,86,89,93
484,150,170,158
485,104,148,162
486,216,222,224
487,126,95,125
488,131,128,132
489,42,85,109
490,86,84,74
491,77,108,144
492,97,62,92
493,195,204,201
494,111,120,116
495,173,140,109
496,88,107,104
497,51,58,75
498,76,97,115
499,143,143,143
500,115,114,93
501,139,141,152
502,74,111,132
503,201,184,189
504,118,120,115
505,174,45,42
506,104,114,121
507,137,142,137
508,116,135,137
509,153,147,146
510,72,82,81
511,82,84,78
512,50,77,98
513,179,179,179
514,190,194,186
515,97,86,80
516,36,38,19
517,153,147,146
518,162,163,148
519,152,154,146
520,120,117,67
521,127,115,107
522,202,204,212
523,165,164,157
524,214,204,200
525,127,133,118
526,63,52,62
527,129,132,133
528,187,187,187
529,140,141,132
530,120,102,90
531,88,122,90
532,112,112,112
533,97,62,92
534,194,159,111
535,138,142,152
536,164,114,115
537,109,138,117
538,67,67,65
539,129,130,124
540,59,77,71
541,166,165,167
542,192,147,104
543,159,154,143
544,112,112,112
545,94,94,94
546,155,142,144
547,179,170,173
548,125,112,83
549,166,156,150
550,52,80,91
551,95,101,97
552,46,112,164
553,167,182,182
