TileIndex,Red,Green,Blue
398,114,133,38
399,121,133,41
400,109,107,46
401,91,99,26
402,109,117,27
403,114,131,24
404,98,112,22
405,117,134,33
406,116,133,23
407,106,104,32
408,89,82,28
409,77,82,13
410,89,94,19
411,41,40,4
412,63,68,20
413,92,103,26
414,113,130,30
415,112,126,27
416,100,103,26
417,105,123,30
418,70,74,21
419,64,71,19
420,45,60,20
421,46,63,28
422,44,61,20
423,60,77,28
424,72,93,35
425,104,127,53
426,103,126,55
427,130,154,64
428,122,143,56
429,128,148,68
430,107,126,61
431,87,101,41
432,84,100,39
433,105,120,42
434,88,98,25
435,88,101,25
436,95,123,18
437,102,129,24
438,109,134,31
439,120,154,24
440,141,172,30
441,163,183,41
442,186,195,75
443,169,187,42
444,186,201,51
445,192,203,50
446,165,190,34
447,162,188,23
448,158,183,25
449,149,183,17
450,145,173,28
451,119,138,33
452,127,148,30
453,142,151,38
454,128,129,32
455,116,118,38
456,110,123,27
457,118,140,29
458,80,84,18
459,99,101,35
460,105,103,50
461,103,113,30
462,98,107,32
463,111,125,32
464,95,107,27
465,91,105,21
466,106,120,26
467,101,99,29
468,81,75,20
469,82,87,20
470,77,80,15
471,39,38,2
472,71,76,27
473,94,104,30
474,99,114,20
475,97,104,32
476,88,94,23
477,90,103,26
478,84,86,32
479,98,100,51
480,35,45,18
481,48,66,27
482,40,59,20
483,64,86,37
484,59,82,25
485,91,113,51
486,66,94,32
487,93,123,46
488,84,108,47
489,57,77,30
490,78,100,39
491,81,98,41
492,75,88,28
493,89,101,32
494,89,100,33
495,80,101,22
496,84,114,21
497,101,131,23
498,109,136,23
499,141,167,33
500,153,180,26
501,159,176,34
502,211,221,83
503,169,185,53
504,178,193,55
505,151,169,32
506,161,188,28
507,181,211,27
508,183,210,28
509,152,182,39
510,136,163,26
511,126,144,42
512,118,140,26
513,110,127,27
514,119,131,31
515,110,116,34
516,98,104,27
517,106,129,23
518,97,114,32
519,109,127,42
520,117,123,54
521,95,112,27
522,87,116,21
523,99,118,29
524,98,106,29
525,99,111,26
526,100,114,26
527,106,104,37
528,89,85,31
529,74,79,16
530,76,77,18
531,41,39,6
532,69,73,24
533,80,87,21
534,78,94,19
535,78,90,22
536,73,85,23
537,65,84,20
538,81,91,29
539,96,97,53
540,31,45,14
541,27,36,13
542,30,42,23
543,30,43,20
544,35,49,19
545,43,57,19
546,61,77,35
547,99,120,49
548,82,104,46
549,40,61,20
550,46,64,26
551,51,64,28
552,76,88,36
553,72,83,25
554,86,96,32
555,72,86,20
556,72,93,18
557,87,109,20
558,110,135,26
559,134,162,23
560,160,189,18
561,185,201,30
562,188,203,56
563,196,212,53
564,181,196,42
565,169,186,37
566,164,188,27
567,165,190,24
568,150,177,30
569,123,154,28
570,111,140,24
571,110,135,31
572,102,126,22
573,113,123,31
574,122,135,31
575,107,111,36
576,102,116,36
577,102,117,21
578,96,102,26
579,74,79,29
580,119,120,58
581,109,119,38
582,73,92,21
583,95,103,30
584,94,103,28
585,98,108,32
586,94,110,23
587,101,98,33
588,91,86,35
589,65,66,15
590,64,61,9
591,41,35,5
592,66,66,16
593,89,98,19
594,84,99,21
595,63,72,18
596,66,70,17
597,57,74,21
598,57,72,21
599,53,58,15
600,32,49,17
601,39,52,22
602,31,47,18
603,74,86,47
604,43,55,22
605,51,67,29
606,63,80,35
607,77,97,34
608,117,136,61
609,116,142,67
610,82,108,49
611,58,76,30
612,73,91,37
613,77,91,38
614,75,85,29
615,68,80,29
616,60,73,15
617,92,109,30
618,117,136,38
619,145,170,31
620,159,180,33
621,193,203,29
622,187,198,44
623,198,208,61
624,185,195,61
625,174,193,34
626,165,194,32
627,150,180,34
628,130,159,34
629,118,144,27
630,104,128,25
631,91,110,20
632,90,109,24
633,107,117,33
634,109,126,28
635,90,102,26
636,95,116,38
637,99,108,27
638,104,99,29
639,72,65,21
640,109,109,48
641,102,107,35
642,66,69,18
643,93,95,31
644,85,95,26
645,83,92,23
646,94,110,24
647,94,90,30
648,76,70,26
649,59,59,16
650,62,61,13
651,38,34,7
652,75,79,23
653,120,125,50
654,78,85,17
655,66,73,22
656,52,52,19
657,59,72,18
658,75,83,31
659,62,62,16
660,26,37,14
661,53,75,35
662,46,64,34
663,43,65,26
664,72,97,47
665,53,71,27
666,88,111,58
667,72,92,38
668,86,103,35
669,100,120,47
670,78,100,52
671,44,63,23
672,55,74,26
673,70,87,30
674,68,80,30
675,68,82,24
676,66,81,22
677,92,110,31
678,121,144,38
679,140,172,26
680,161,189,28
681,188,204,43
682,220,227,73
683,230,232,82
684,219,223,71
685,167,190,35
686,152,183,33
687,137,170,23
688,109,137,27
689,114,133,39
690,111,126,32
691,90,99,26
692,94,110,29
693,105,118,29
694,100,116,29
695,90,98,32
696,90,99,31
697,91,94,26
698,97,97,35
699,71,68,14
700,99,95,47
701,88,97,34
702,55,58,14
703,77,80,27
704,78,78,32
705,79,85,17
706,97,107,27
707,99,94,37
708,86,75,38
709,58,56,12
710,61,59,13
711,34,31,8
712,81,87,28
713,125,126,45
714,91,95,32
715,54,58,11
716,45,46,15
717,43,45,13
718,58,61,23
719,90,85,42
720,64,79,46
721,36,49,22
722,29,46,20
723,14,21,7
724,31,43,21
725,39,51,24
726,38,49,24
727,33,39,12
728,51,62,25
729,93,109,51
730,82,99,51
731,51,69,41
732,71,90,42
733,68,85,32
734,58,70,25
735,64,77,25
736,50,64,18
737,72,88,25
738,99,118,35
739,128,154,32
740,146,171,32
741,184,200,57
742,214,223,77
743,214,219,80
744,204,214,73
745,176,197,36
746,144,170,23
747,120,143,30
748,112,134,33
749,111,133,29
750,109,127,31
751,89,104,27
752,81,107,22
753,79,104,17
754,90,109,28
755,84,90,33
756,88,94,36
757,83,84,27
758,96,95,35
759,82,78,25
760,97,90,39
761,61,67,23
762,45,49,13
763,70,79,24
764,84,92,28
765,77,86,28
766,98,101,33
767,92,83,28
768,82,71,34
769,57,54,14
770,57,54,12
771,39,33,7
772,84,85,23
773,132,127,47
774,83,85,28
775,53,56,15
776,36,41,12
777,38,44,8
778,60,67,29
779,75,75,27
780,44,60,25
781,32,36,22
782,16,24,10
783,22,30,13
784,9,17,4
785,35,50,24
786,82,96,50
787,22,27,12
788,38,48,20
789,73,87,42
790,73,85,36
791,38,55,20
792,78,96,48
793,74,99,40
794,56,72,23
795,48,60,21
796,51,66,19
797,60,82,19
798,86,111,22
799,118,144,31
800,141,171,32
801,192,204,61
802,208,215,75
803,195,208,55
804,174,190,37
805,183,206,33
806,161,183,37
807,137,160,23
808,116,134,32
809,104,131,29
810,92,115,29
811,78,94,26
812,62,86,19
813,63,83,21
814,59,71,19
815,62,63,22
816,60,60,18
817,74,73,25
818,92,90,33
819,80,79,29
820,131,112,68
821,52,53,17
822,51,61,18
823,64,72,19
824,86,98,28
825,70,78,22
826,94,92,35
827,79,73,24
828,81,73,28
829,52,52,9
830,52,50,9
831,41,39,9
832,104,102,40
833,128,116,55
834,81,80,31
835,65,63,19
836,46,49,13
837,47,57,12
838,58,62,27
839,91,90,45
840,37,57,25
841,42,44,27
842,23,32,14
843,28,47,18
844,27,44,20
845,27,40,19
846,38,50,34
847,22,31,15
848,40,47,22
849,51,64,26
850,29,38,16
851,29,41,20
852,57,76,29
853,88,113,58
854,50,68,22
855,46,57,23
856,58,72,24
857,54,72,17
858,93,115,33
859,104,134,29
860,121,149,34
861,176,186,59
862,212,215,76
863,193,205,61
864,189,203,60
865,157,177,32
866,147,166,28
867,129,147,33
868,112,129,33
869,85,109,26
870,75,91,27
871,61,64,23
872,50,63,20
873,63,74,33
874,54,61,21
875,57,55,24
876,53,54,18
877,48,51,15
878,75,76,19
879,79,80,26
880,141,119,83
881,71,67,30
882,61,68,24
883,78,81,24
884,88,96,29
885,71,81,25
886,90,87,29
887,65,58,17
888,75,66,18
889,64,64,15
890,61,62,19
891,37,36,8
892,99,95,39
893,124,108,56
894,78,79,25
895,99,94,38
896,66,64,18
897,60,60,17
898,39,43,16
899,67,64,27
900,14,23,9
901,27,39,18
902,13,19,8
903,51,74,36
904,40,53,27
905,42,51,29
906,14,21,5
907,21,30,12
908,33,42,16
909,58,73,35
910,40,59,18
911,43,64,27
912,75,99,46
913,72,96,42
914,66,87,38
915,47,57,25
916,51,64,21
917,44,56,15
918,73,89,27
919,93,116,41
920,91,112,36
921,146,164,56
922,198,202,72
923,195,200,74
924,149,156,59
925,139,158,36
926,129,148,30
927,109,122,37
928,95,114,36
929,73,93,26
930,65,77,27
931,55,54,19
932,45,53,13
933,44,59,21
934,45,57,17
935,61,62,26
936,53,58,16
937,55,69,23
938,78,86,36
939,90,95,27
940,130,112,79
941,110,101,54
942,75,83,27
943,81,92,24
944,77,87,29
945,77,86,23
946,97,94,31
947,64,60,20
948,59,57,16
949,64,65,17
950,71,69,22
951,43,41,12
952,92,87,34
953,143,128,63
954,119,111,57
955,94,92,33
956,83,89,30
957,73,84,32
958,53,55,18
959,123,122,49
960,20,26,14
961,12,26,9
962,16,22,12
963,50,65,27
964,75,99,47
965,44,62,27
966,29,39,17
967,24,32,12
968,45,58,26
969,61,79,41
970,38,52,25
971,46,70,31
972,53,78,33
973,72,98,46
974,61,82,34
975,28,36,17
976,38,49,18
977,38,50,14
978,66,80,29
979,79,94,35
980,78,93,30
981,120,134,43
982,178,181,77
983,175,180,69
984,128,139,40
985,139,154,49
986,118,144,28
987,111,118,39
988,56,73,20
989,56,59,20
990,66,71,31
991,49,50,21
992,43,45,15
993,33,39,16
994,30,38,15
995,69,69,33
996,76,87,26
997,86,102,30
998,90,88,40
999,93,87,40
1000,160,141,112
1001,140,120,78
1002,72,74,23
1003,69,77,28
1004,68,73,29
1005,91,97,34
1006,84,89,27
1007,57,64,18
1008,61,62,23
1009,62,69,13
1010,68,68,24
1011,42,48,8
1012,51,63,12
1013,63,78,19
1014,74,80,25
1015,78,90,37
1016,75,85,26
1017,119,123,42
1018,146,145,44
1019,130,134,40
1020,52,70,35
1021,46,63,31
1022,16,22,11
1023,19,19,10
1024,31,40,21
1025,20,29,15
1026,15,22,8
1027,24,37,19
1028,32,44,15
1029,42,59,26
1030,38,52,26
1031,51,74,36
1032,59,83,36
1033,50,68,28
1034,49,63,28
1035,35,46,21
1036,39,51,22
1037,35,47,20
1038,54,67,29
1039,82,94,48
1040,92,94,48
1041,121,119,65
1042,149,148,83
1043,137,139,79
1044,129,134,60
1045,122,131,51
1046,87,103,29
1047,94,98,34
1048,79,86,29
1049,75,76,27
1050,75,86,20
1051,60,66,17
1052,55,59,12
1053,62,66,23
1054,51,58,20
1055,98,96,37
1056,82,86,26
1057,95,98,43
1058,80,78,34
1059,73,64,34
1060,178,157,123
1061,153,131,79
1062,88,84,21
1063,67,70,17
1064,68,63,27
1065,72,80,20
1066,66,77,23
1067,70,81,32
1068,54,62,22
1069,74,80,22
1070,74,85,28
1071,76,97,31
1072,78,104,40
1073,79,98,30
1074,117,120,49
1075,147,148,45
1076,157,158,39
1077,147,149,46
1078,122,122,39
1079,65,73,30
1080,51,56,28
1081,45,47,33
1082,22,24,17
1083,74,71,55
1084,78,75,63
1085,52,61,40
1086,19,25,9
1087,40,49,22
1088,39,47,14
1089,44,55,32
1090,19,29,16
1091,21,37,13
1092,37,53,29
1093,33,44,21
1094,31,38,15
1095,34,43,16
1096,37,48,18
1097,49,60,29
1098,63,74,31
1099,83,89,40
1100,63,64,39
1101,152,155,60
1102,128,122,61
1103,136,126,77
1104,135,129,57
1105,133,134,51
1106,108,112,56
1107,100,102,46
1108,82,87,38
1109,69,78,24
1110,45,55,18
1111,63,75,20
1112,60,67,28
1113,94,104,42
1114,69,75,35
1115,85,96,28
1116,90,100,46
1117,70,72,32
1118,48,56,16
1119,64,68,32
1120,152,136,97
1121,130,113,61
1122,90,96,34
1123,100,112,37
1124,95,97,35
1125,97,111,47
1126,87,100,40
1127,84,91,31
1128,86,81,43
1129,82,89,39
1130,107,112,70
1131,110,122,65
1132,101,129,39
1133,147,153,99
1134,167,160,100
1135,130,128,50
1136,107,108,30
1137,102,107,28
1138,47,41,16
1139,30,30,14
1140,85,84,55
1141,115,111,92
1142,64,65,42
1143,95,94,60
1144,143,136,107
1145,120,116,98
1146,9,19,6
1147,22,29,14
1148,32,36,17
1149,53,60,38
1150,36,44,23
1151,25,35,17
1152,32,43,19
1153,39,50,18
1154,79,91,30
1155,90,101,28
1156,99,109,49
1157,84,93,36
1158,83,87,31
1159,70,69,22
1160,86,82,41
1161,82,81,28
1162,98,100,41
1163,150,146,89
1164,152,150,87
1165,73,76,28
1166,79,81,39
1167,87,90,35
1168,66,71,28
1169,77,85,31
1170,88,94,35
1171,72,78,37
1172,77,85,30
1173,80,88,38
1174,93,102,44
1175,99,111,50
1176,69,74,35
1177,51,56,27
1178,53,70,25
1179,97,120,47
1180,117,127,40
1181,105,110,38
1182,92,112,46
1183,87,97,34
1184,104,110,31
1185,110,119,39
1186,106,111,37
1187,128,141,61
1188,115,114,50
1189,123,123,65
1190,92,96,57
1191,60,65,31
1192,117,126,50
1193,157,150,107
1194,99,95,38
1195,141,138,56
1196,125,121,52
1197,108,102,46
1198,79,72,35
1199,46,55,24
1200,92,91,60
1201,93,91,62
1202,57,59,25
1203,61,59,20
1204,48,44,24
1205,88,82,61
1206,68,89,45
1207,56,81,23
1208,52,57,28
1209,66,66,32
1210,53,57,26
1211,25,28,15
1212,33,33,21
1213,60,58,32
1214,101,102,33
1215,109,104,53
1216,133,126,47
1217,143,141,64
1218,174,165,107
1219,186,172,135
1220,175,159,114
1221,176,158,124
1222,206,186,156
1223,232,206,181
1224,222,194,183
1225,155,137,113
1226,96,90,49
1227,85,80,41
1228,64,62,30
1229,87,86,34
1230,100,102,34
1231,39,37,10
1232,66,70,24
1233,78,83,32
1234,83,90,32
1235,46,51,19
1236,90,91,41
1237,125,131,61
1238,123,139,52
1239,97,108,43
1240,90,105,27
1241,119,126,36
1242,104,123,40
1243,126,128,54
1244,133,141,55
1245,132,142,54
1246,159,157,62
1247,141,158,59
1248,136,141,56
1249,122,131,56
1250,128,138,77
1251,124,126,63
1252,128,129,40
1253,123,120,40
1254,160,161,68
1255,104,104,28
1256,84,89,25
1257,127,126,39
1258,160,144,66
1259,173,160,74
1260,126,120,90
1261,88,83,49
1262,45,46,15
1263,35,38,12
1264,17,15,8
1265,31,28,12
1266,137,144,84
1267,132,136,79
1268,114,115,64
1269,106,101,52
1270,103,96,75
1271,114,111,81
1272,134,130,63
1273,129,122,53
1274,130,124,55
1275,188,183,58
1276,180,166,40
1277,164,154,42
1278,153,147,55
1279,163,148,56
1280,175,155,57
1281,186,162,53
1282,181,156,59
1283,176,155,84
1284,96,85,49
1285,69,59,30
1286,122,104,68
1287,139,129,64
1288,59,55,28
1289,79,70,40
1290,98,89,40
1291,139,129,58
1292,128,124,57
1293,100,94,51
1294,62,59,39
1295,51,52,36
1296,91,89,42
1297,92,82,42
1298,100,90,49
1299,74,61,40
1300,85,81,43
1301,125,122,50
1302,124,130,51
1303,129,125,61
1304,128,125,64
1305,108,108,57
1306,130,128,69
1307,105,110,60
1308,128,111,72
1309,127,117,62
1310,141,142,67
1311,174,168,87
1312,201,199,60
1313,167,164,49
1314,75,72,24
1315,46,47,17
1316,38,43,15
1317,48,50,15
1318,94,89,31
1319,110,111,38
1320,118,112,71
1321,91,81,58
1322,28,28,11
1323,68,75,38
1324,16,17,7
1325,17,13,7
1326,80,85,36
1327,125,114,88
1328,114,104,74
1329,156,143,101
1330,182,180,84
1331,145,142,54
1332,88,78,45
1333,88,81,58
1334,80,77,52
1335,60,55,29
1336,137,130,71
1337,156,143,66
1338,143,133,66
1339,132,119,61
1340,135,121,50
1341,155,132,46
1342,158,142,45
1343,132,119,42
1344,63,51,26
1345,76,67,29
1346,183,157,104
1347,206,181,105
1348,171,155,88
1349,147,138,73
1350,185,180,55
1351,204,190,40
1352,192,181,77
1353,120,108,51
1354,111,102,59
1355,93,87,47
1356,140,128,88
1357,93,92,54
1358,66,63,40
1359,75,68,43
1360,105,93,67
1361,162,146,113
1362,130,109,72
1363,116,104,79
1364,139,120,100
1365,113,98,80
1366,156,143,107
1367,196,184,114
1368,134,126,65
1369,88,80,33
1370,174,170,87
1371,157,155,55
1372,127,126,51
1373,48,43,13
1374,66,64,27
1375,101,99,40
1376,65,59,25
1377,62,59,25
1378,60,55,24
1379,40,39,8
